mnemonic,operands,width_bits,latency_cycles,throughput_cycles,extension
VMOVSS,xmm xmm,128,-1.0000,0.1794,AVX
VMOVSD,xmm xmm,128,-1.0000,0.1186,AVX
VMOVUPS,ymm m256,256,-1.0000,0.2371,AVX
VMOVUPD,ymm m256,256,-1.0000,0.2584,AVX
VMOVHPS,xmm m64,128,-1.0000,0.2371,AVX
VMOVHPD,xmm m64,128,-1.0000,0.2370,AVX
VTESTPS,ymm ymm,256,-1.0000,0.4740,AVX
VTESTPD,ymm ymm,256,-1.0000,0.4741,AVX
VZEROALL,,256,-1.0000,2.8439,AVX
VBROADCASTF128,ymm m128,256,-1.0000,0.2371,AVX
VFIXUPIMMPD,zmm zmm zmm imm,512,-1.0000,0.4741,AVX-512F
VFPCLASSPD,k zmm imm,512,-1.0000,0.4743,AVX-512F
PMULHRSW,xmm xmm,128,1.4229,0.2372,SSSE3
