probe=simd_int_exhaustive
iterations=30000
working_set_bytes=67108864
cpu=0
avx2=1 fma=1 avx512f=1 bmi2=1 3dnow_prefetch=1

Measuring SIMD integer instruction forms (XMM + YMM)...

mnemonic,operands,width_bits,latency_cycles,throughput_cycles,category
PADDB,xmm,xmm,128,0.0160,0.1232,arith_add
PADDB,ymm,ymm,256,0.0163,0.1235,arith_add
PADDW,xmm,xmm,128,0.0160,0.1229,arith_add
PADDW,ymm,ymm,256,0.0160,0.1227,arith_add
PADDD,xmm,xmm,128,0.0158,0.1222,arith_add
PADDD,ymm,ymm,256,0.0160,0.1225,arith_add
PADDQ,xmm,xmm,128,0.0158,0.1224,arith_add
PADDQ,ymm,ymm,256,0.0160,0.1224,arith_add
PSUBB,xmm,xmm,128,0.0160,0.1224,arith_sub
PSUBB,ymm,ymm,256,0.0158,0.1222,arith_sub
PSUBW,xmm,xmm,128,0.0158,0.1223,arith_sub
PSUBW,ymm,ymm,256,0.0158,0.1222,arith_sub
PSUBD,xmm,xmm,128,0.0158,0.1222,arith_sub
PSUBD,ymm,ymm,256,0.0160,0.1223,arith_sub
PSUBQ,xmm,xmm,128,0.0160,0.1222,arith_sub
PSUBQ,ymm,ymm,256,0.0160,0.1222,arith_sub
PADDUSB,xmm,xmm,128,0.0308,0.2441,arith_sat
PADDUSB,ymm,ymm,256,0.0310,0.2442,arith_sat
PADDUSW,xmm,xmm,128,0.0310,0.2442,arith_sat
PADDUSW,ymm,ymm,256,0.0308,0.2443,arith_sat
PADDSB,xmm,xmm,128,0.0310,0.2441,arith_sat
PADDSB,ymm,ymm,256,0.0310,0.3042,arith_sat
PADDSW,xmm,xmm,128,0.0310,0.2441,arith_sat
PADDSW,ymm,ymm,256,0.0310,0.2441,arith_sat
PSUBUSB,xmm,xmm,128,0.0002,0.4374,arith_sat
PSUBUSB,ymm,ymm,256,0.0002,0.2442,arith_sat
PSUBUSW,xmm,xmm,128,0.0310,0.2443,arith_sat
PSUBUSW,ymm,ymm,256,0.0310,0.2443,arith_sat
PSUBSB,xmm,xmm,128,0.4881,0.2441,arith_sat
PSUBSB,ymm,ymm,256,0.4883,0.2442,arith_sat
PSUBSW,xmm,xmm,128,0.0310,0.2441,arith_sat
PSUBSW,ymm,ymm,256,0.0312,0.2441,arith_sat
PMULLW,xmm,xmm,128,0.0462,0.2445,arith_mul
PMULLW,ymm,ymm,256,0.0462,0.2445,arith_mul
PMULLD,xmm,xmm,128,0.0465,0.2447,arith_mul
PMULLD,ymm,ymm,256,0.0460,0.2443,arith_mul
PMULDQ,xmm,xmm,128,0.5085,0.5945,arith_mul
PMULDQ,ymm,ymm,256,0.5088,0.5925,arith_mul
PMULUDQ,xmm,xmm,128,0.0921,0.4689,arith_mul
PMULUDQ,ymm,ymm,256,0.0923,0.3661,arith_mul
PMULHW,xmm,xmm,128,1.4638,0.2441,arith_mul
PMULHW,ymm,ymm,256,1.5392,0.2417,arith_mul
PMULHUW,xmm,xmm,128,0.0158,0.2417,arith_mul
PMULHUW,ymm,ymm,256,0.0156,0.2419,arith_mul
PMADDWD,xmm,xmm,128,1.4496,0.2418,arith_mul
PMADDWD,ymm,ymm,256,1.4504,0.2418,arith_mul
PMADDUBSW,xmm,xmm,128,1.4494,0.2418,arith_mul
PMADDUBSW,ymm,ymm,256,1.4496,0.2417,arith_mul
PHADDW,xmm,xmm,128,0.9665,0.9665,arith_horiz
PHADDW,ymm,ymm,256,0.9667,0.9665,arith_horiz
PHADDD,xmm,xmm,128,0.9667,0.9666,arith_horiz
PHADDD,ymm,ymm,256,0.9665,0.9702,arith_horiz
PHSUBW,xmm,xmm,128,0.9669,0.9667,arith_horiz
PHSUBW,ymm,ymm,256,0.9669,0.9667,arith_horiz
PHSUBD,xmm,xmm,128,0.9667,0.9666,arith_horiz
PHSUBD,ymm,ymm,256,0.9671,0.9668,arith_horiz
PSADBW,xmm,xmm,128,1.6352,0.2418,arith_misc
PSADBW,ymm,ymm,256,1.4498,0.2421,arith_misc
PAVGB,xmm,xmm,128,1.1406,0.1211,arith_misc
PAVGB,ymm,ymm,256,0.9663,0.1211,arith_misc
PAVGW,xmm,xmm,128,0.9665,0.1211,arith_misc
PAVGW,ymm,ymm,256,0.9717,0.1210,arith_misc
PABSB,xmm,xmm,128,0.0002,0.2417,arith_misc
PABSB,ymm,ymm,256,0.0002,0.2418,arith_misc
PABSW,xmm,xmm,128,0.0004,0.2424,arith_misc
PABSW,ymm,ymm,256,0.0002,0.2417,arith_misc
PABSD,xmm,xmm,128,0.0002,0.2420,arith_misc
PABSD,ymm,ymm,256,0.0002,0.2418,arith_misc
PMINSB,xmm,xmm,128,0.0002,0.1210,arith_minmax
PMINSB,ymm,ymm,256,0.0002,0.1210,arith_minmax
PMINSW,xmm,xmm,128,0.0004,0.1210,arith_minmax
PMINSW,ymm,ymm,256,0.0004,0.1210,arith_minmax
PMINSD,xmm,xmm,128,0.0002,0.1214,arith_minmax
PMINSD,ymm,ymm,256,0.0002,0.1210,arith_minmax
PMAXSB,xmm,xmm,128,0.0004,0.1210,arith_minmax
PMAXSB,ymm,ymm,256,0.0002,0.1211,arith_minmax
PMAXSW,xmm,xmm,128,0.0002,0.1209,arith_minmax
PMAXSW,ymm,ymm,256,0.0002,0.1210,arith_minmax
PMAXSD,xmm,xmm,128,0.0002,0.1211,arith_minmax
PMAXSD,ymm,ymm,256,0.0002,0.1209,arith_minmax
PMINUB,xmm,xmm,128,0.0002,0.1211,arith_minmax
PMINUB,ymm,ymm,256,0.0002,0.1209,arith_minmax
PMINUW,xmm,xmm,128,0.0002,0.1209,arith_minmax
PMINUW,ymm,ymm,256,0.0002,0.1211,arith_minmax
PMINUD,xmm,xmm,128,0.0004,0.1209,arith_minmax
PMINUD,ymm,ymm,256,0.0004,0.1210,arith_minmax
PMAXUB,xmm,xmm,128,0.0002,0.1210,arith_minmax
PMAXUB,ymm,ymm,256,0.0002,0.1209,arith_minmax
PMAXUW,xmm,xmm,128,0.0002,0.1209,arith_minmax
PMAXUW,ymm,ymm,256,0.0004,0.1211,arith_minmax
