mnemonic,operands,width_bits,latency_cycles,throughput_cycles,category
ADDSD,xmm,xmm,128,2.1000,0.5519,fp64_arith
SUBSD,xmm,xmm,128,1.5898,0.2417,fp64_arith
MULSD,xmm,xmm,128,1.4902,0.2404,fp64_arith
DIVSD,xmm,xmm,128,6.4238,2.5350,fp64_arith
MAXSD,xmm,xmm,128,1.0113,0.2407,fp64_arith
MINSD,xmm,xmm,128,0.9692,0.2577,fp64_arith
SQRTSD,xmm,xmm,128,10.2065,4.0740,fp64_arith
CMPSD,xmm,xmm,128,0.9782,0.2719,fp64_cmp
COMISD,xmm,xmm,128,0.5258,0.5052,fp64_cmp
UCOMISD,xmm,xmm,128,0.5404,0.5217,fp64_cmp
ADDSS,xmm,xmm,128,1.4498,0.2418,fp32_arith
SUBSS,xmm,xmm,128,1.4557,0.2403,fp32_arith
MULSS,xmm,xmm,128,1.4390,0.2530,fp32_arith
DIVSS,xmm,xmm,128,5.3050,1.4552,fp32_arith
MAXSS,xmm,xmm,128,0.9741,0.2407,fp32_arith
MINSS,xmm,xmm,128,0.9953,0.2411,fp32_arith
SQRTSS,xmm,xmm,128,7.3749,2.4060,fp32_arith
CMPSS,xmm,xmm,128,0.9536,0.2521,fp32_cmp
RCPSS,xmm,xmm,128,1.9065,0.2385,fp32_arith
RSQRTSS,xmm,xmm,128,1.9476,0.2392,fp32_arith
ADDPD,xmm,xmm,128,1.4637,0.2393,fp64_arith
SUBPD,xmm,xmm,128,1.4354,0.2393,fp64_arith
MULPD,xmm,xmm,128,1.4746,0.2392,fp64_arith
DIVPD,xmm,xmm,128,6.3155,2.4295,fp64_arith
SQRTPD,xmm,128,10.2551,4.1071,fp64_arith
MAXPD,xmm,xmm,128,1.0707,0.2416,fp64_arith
MINPD,xmm,xmm,128,0.9952,0.2416,fp64_arith
CMPPD,xmm,xmm,128,0.9685,0.2416,fp64_cmp
ANDPD,xmm,xmm,128,0.4831,0.1208,fp64_logic
ANDNPD,xmm,xmm,128,0.4832,0.1208,fp64_logic
ORPD,xmm,xmm,128,0.4955,0.1202,fp64_logic
XORPD,xmm,xmm,128,0.4808,0.1202,fp64_logic
UNPCKHPD,xmm,xmm,128,0.4978,0.1924,fp64_shuf
UNPCKLPD,xmm,xmm,128,0.5072,0.1923,fp64_shuf
SHUFPD,xmm,xmm,128,0.4935,0.2034,fp64_shuf
ADDPS,xmm,xmm,128,1.4354,0.2393,fp32_arith
SUBPS,xmm,xmm,128,1.4806,0.2393,fp32_arith
MULPS,xmm,xmm,128,1.5542,0.2397,fp32_arith
DIVPS,xmm,xmm,128,5.2893,1.4526,fp32_arith
SQRTPS,xmm,128,7.4344,2.4321,fp32_arith
MAXPS,xmm,xmm,128,0.9662,0.2605,fp32_arith
MINPS,xmm,xmm,128,0.9617,0.2404,fp32_arith
CMPPS,xmm,xmm,128,0.9874,0.2473,fp32_cmp
ANDPS,xmm,xmm,128,0.5464,0.1347,fp32_logic
ANDNPS,xmm,xmm,128,0.4831,0.1208,fp32_logic
ORPS,xmm,xmm,128,0.4832,0.1208,fp32_logic
XORPS,xmm,xmm,128,0.4831,0.1208,fp32_logic
UNPCKHPS,xmm,xmm,128,0.4831,0.1933,fp32_shuf
UNPCKLPS,xmm,xmm,128,0.4832,0.1933,fp32_shuf
SHUFPS,xmm,xmm,128,0.4832,0.2151,fp32_shuf
RCPPS,xmm,128,1.9377,0.2404,fp32_arith
RSQRTPS,xmm,128,2.0503,0.2393,fp32_arith
MOVAPD,xmm,xmm,128,0.1197,0.0898,move
MOVAPS,xmm,xmm,128,0.1197,0.0898,move
MOVUPD,xmm,xmm,128,0.1197,0.0898,move
MOVUPS,xmm,xmm,128,0.1462,0.1197,move
MOVSD,xmm,xmm,128,0.4922,0.1208,move
MOVSS,xmm,xmm,128,0.4833,0.1208,move
MOVHPD,xmm,xmm,128,0.4832,0.2094,move
MOVLPD,xmm,xmm,128,0.4831,0.1208,move
MOVHPS,xmm,xmm,128,0.4834,0.2101,move
MOVLPS,xmm,xmm,128,0.4787,0.1197,move
MOVMSKPD,xmm->r32,128,3.3981,-1.0000,move
MOVMSKPS,xmm->r32,128,3.4183,-1.0000,move
MOVDQA,xmm,xmm,128,0.1197,0.0897,move
MOVDQU,xmm,xmm,128,0.1200,0.0897,move
MOVQ,xmm,xmm,128,0.4785,0.1197,move
MOVD,r32,xmm,128,3.3496,-1.0000,move
CVTPD2PS,xmm,xmm,128,1.4786,0.2393,convert
CVTPS2PD,xmm,xmm,128,1.4354,0.2393,convert
CVTPD2DQ,xmm,xmm,128,1.4354,0.2393,convert
CVTTPD2DQ,xmm,xmm,128,1.4999,0.2525,convert
CVTDQ2PD,xmm,xmm,128,1.4354,0.2393,convert
CVTPS2DQ,xmm,xmm,128,1.4355,0.2393,convert
CVTTPS2DQ,xmm,xmm,128,1.4354,0.2393,convert
CVTDQ2PS,xmm,xmm,128,1.4621,0.2393,convert
CVTSD2SS,xmm,xmm,128,1.4736,0.3121,convert
CVTSS2SD,xmm,xmm,128,1.4938,0.2393,convert
CVTSD2SI,xmm->r64,128,5.8159,-1.0000,convert
CVTTSD2SI,xmm->r64,128,5.8231,-1.0000,convert
CVTSI2SD,r64->xmm,128,5.8234,-1.0000,convert
CVTSS2SI,xmm->r64,128,5.7700,-1.0000,convert
CVTSI2SS,r64->xmm,128,5.7982,-1.0000,convert
