probe=scalar_memory_exhaustive
iterations=200000
working_set_bytes=67108864
cpu=0
avx2=1 fma=1 avx512f=1 bmi2=1 3dnow_prefetch=1

Measuring scalar memory instruction forms...

Buffer sizes: latency=4096 bytes (L1), throughput=4096 bytes (L1)

mnemonic,operands,latency_cycles,throughput_cycles,category
MOV,r64,[m64],3.4619,0.3867,load
MOV,r32,[m32],3.4573,0.3821,load
MOV,r16,[m16],3.9763,0.3802,load
MOV,r8,[m8],3.9194,0.3725,load
MOVZX,r64,[m8],3.5508,0.3663,load
MOVZX,r64,[m16],3.4983,0.3900,load
MOVSX,r64,[m8],3.9757,0.3669,load
MOVSX,r64,[m16],3.9193,0.3642,load
MOV,[m64],r64,-1.0000,0.5163,store
MOV,[m32],r32,-1.0000,0.4879,store
MOV,[m16],r16,-1.0000,0.4993,store
MOV,[m8],r8,-1.0000,0.4876,store
MOV,[m64],imm,-1.0000,0.4921,store
STR-LD,roundtrip,0.4868,-1.0000,store
LEA,[rip+disp],-1.0000,0.1372,lea
LEA,[b+i*8+d],0.9898,-1.0000,lea
ADD,r64,[m64],0.5133,-1.0000,alu_load
SUB,r64,[m64],0.4965,-1.0000,alu_load
AND,r64,[m64],0.4958,-1.0000,alu_load
OR,r64,[m64],0.5230,-1.0000,alu_load
XOR,r64,[m64],0.4960,-1.0000,alu_load
ADD,[m64],r64,0.4961,-1.0000,alu_rmw
ADD,[m64],imm,0.4953,-1.0000,alu_rmw
SUB,[m64],r64,0.4955,-1.0000,alu_rmw
AND,[m64],r64,0.4953,-1.0000,alu_rmw
OR,[m64],r64,0.4953,-1.0000,alu_rmw
XOR,[m64],r64,0.4953,-1.0000,alu_rmw
CMP,r64,[m64],-1.0000,0.1651,cmp_mem
CMP,[m64],r64,-1.0000,0.1720,cmp_mem
INC,[m64],0.5145,-1.0000,rmw_unary
DEC,[m64],0.5012,-1.0000,rmw_unary
NEG,[m64],0.5020,-1.0000,rmw_unary
NOT,[m64],0.5229,-1.0000,rmw_unary
XCHG,r64,[m64],3.7830,-1.0000,atomic
CMPXCHG,[m64],r64,4.5854,-1.0000,atomic
XADD,[m64],r64,3.9666,-1.0000,atomic
LOCK ADD,[m64],r64,3.7498,-1.0000,lock
LOCK SUB,[m64],r64,3.6980,-1.0000,lock
LOCK AND,[m64],r64,3.7087,-1.0000,lock
LOCK OR,[m64],r64,3.7812,-1.0000,lock
LOCK XOR,[m64],r64,3.7094,-1.0000,lock
LOCK CMPXCHG,[m64],r64,4.4709,-1.0000,lock
LOCK XADD,[m64],r64,3.9633,-1.0000,lock
MOVNTI,[m64],r64,-1.0000,1.6477,nt_store
PREFETCHT0,[m],-1.0000,0.3831,prefetch
PREFETCHT1,[m],-1.0000,0.3895,prefetch
PREFETCHT2,[m],-1.0000,0.3830,prefetch
PREFETCHNTA,[m],-1.0000,0.3895,prefetch
CLFLUSH,[m],-1.0000,229.6750,cache_ctrl
CLFLUSHOPT,[m],-1.0000,200.7875,cache_ctrl
CLWB,[m],-1.0000,200.7375,cache_ctrl
REP MOVSB,1 byte,-1.0000,7.5564,string
REP MOVSB,8 bytes,-1.0000,6.8751,string
REP MOVSB,64 bytes,-1.0000,6.8762,string
REP STOSB,1 byte,-1.0000,4.4205,string
REP STOSB,8 bytes,-1.0000,4.8131,string
REP STOSB,64 bytes,-1.0000,4.5012,string
REP CMPSB,1 byte,-1.0000,8.8979,string
REP CMPSB,8 bytes,-1.0000,8.4311,string
REP CMPSB,64 bytes,-1.0000,44.6525,string
