probe=x87_exhaustive
iterations=200000
working_set_bytes=67108864
cpu=0
avx2=1 fma=1 avx512f=1 bmi2=1 3dnow_prefetch=1

Measuring x87 FPU instruction forms...

mnemonic,operands,latency_cycles,throughput_cycles,category
FLD,st(i),1.0765,0.4763,x87_move
FLD,m32,6.8454,-1.0000,x87_move
FLD,m64,6.7537,-1.0000,x87_move
FLD,m80,7.9801,-1.0000,x87_move
FST,m32,-1.0000,0.4894,x87_move
FST,m64,-1.0000,0.4762,x87_move
FSTP,m80,-1.0000,8.1537,x87_move
FXCH,st(1),0.1192,0.1191,x87_move
FCMOVB,st(0),st(1),1.6282,-1.0000,x87_move
FCMOVE,st(0),st(1),1.9406,-1.0000,x87_move
FCMOVNB,st(0),st(1),1.7509,-1.0000,x87_move
FILD,m32,1.0085,-1.0000,x87_move
FILD,m64,0.9978,-1.0000,x87_move
FISTP,m32,-1.0000,0.9576,x87_move
FADD,st(0),st(0),3.4034,0.8881,x87_arith
FSUB,st(0),st(0),3.3765,0.7656,x87_arith
FMUL,st(0),st(0),3.4128,0.8367,x87_arith
FDIV,st(0),st(0),7.2529,2.8742,x87_arith
FABS,,0.5440,0.4976,x87_arith
FCHS,,0.4787,0.4787,x87_arith
FRNDINT,,2.4433,0.6891,x87_arith
FCOM,st(1),0.4808,-1.0000,x87_cmp
FCOMI,st(0),st(1),0.4808,-1.0000,x87_cmp
FUCOM,st(1),0.4808,-1.0000,x87_cmp
FTST,,0.4808,-1.0000,x87_cmp
FXAM,,0.2405,-1.0000,x87_cmp
FSQRT,,11.0578,5.4991,x87_trans
FSIN,,93.1500,-1.0000,x87_trans
FCOS,,70.3750,-1.0000,x87_trans
FSINCOS,,66.5125,-1.0000,x87_trans
FPTAN,,50.2000,-1.0000,x87_trans
FPATAN,,90.9750,-1.0000,x87_trans
F2XM1,,40.0750,-1.0000,x87_trans
FYL2X,,25.9250,-1.0000,x87_trans
FYL2XP1,,74.1625,-1.0000,x87_trans
FSCALE,,25.7952,-1.0000,x87_trans
FXTRACT,,3.3388,-1.0000,x87_trans
FLD1,,-1.0000,0.7449,x87_const
FLDZ,,-1.0000,0.7165,x87_const
FLDPI,,-1.0000,0.7367,x87_const
FLDL2E,,-1.0000,0.7177,x87_const
FLDL2T,,-1.0000,0.7185,x87_const
FLDLN2,,-1.0000,0.7180,x87_const
FLDLG2,,-1.0000,0.7180,x87_const
FINCSTP,,-1.0000,0.1328,x87_ctrl
FDECSTP,,-1.0000,0.1197,x87_ctrl
FFREE,st(7),-1.0000,0.1197,x87_ctrl
FNOP,,-1.0000,0.1197,x87_ctrl
FWAIT,,-1.0000,0.1284,x87_ctrl
FNCLEX,,-1.0000,23.5888,x87_ctrl
