mnemonic,operands,width_bits,latency_cycles,throughput_cycles,category
VFMADD132PS,ymm,ymm,ymm,256,3.2042,0.2405,fma
VFMADD213PS,ymm,ymm,ymm,256,2.5957,0.2404,fma
VFMADD132PD,ymm,ymm,ymm,256,1.9487,0.2381,fma
VFMADD213PD,ymm,ymm,ymm,256,1.9048,0.2452,fma
VFMADD132SS,xmm,xmm,xmm,128,2.1551,0.2392,fma
VFMADD213SS,xmm,xmm,xmm,128,2.0789,0.2393,fma
VFMADD132SD,xmm,xmm,xmm,128,1.9409,0.2392,fma
VFMADD213SD,xmm,xmm,xmm,128,1.9447,0.2392,fma
VFMSUB132PS,ymm,ymm,ymm,256,1.9139,0.2393,fma
VFMSUB213PS,ymm,ymm,ymm,256,1.9399,0.2393,fma
VFMSUB132PD,ymm,ymm,ymm,256,2.0040,0.2393,fma
VFMSUB213PD,ymm,ymm,ymm,256,1.9418,0.2393,fma
VFMSUB132SS,xmm,xmm,xmm,128,1.9140,0.2393,fma
VFMSUB213SS,xmm,xmm,xmm,128,1.9311,0.2393,fma
VFMSUB132SD,xmm,xmm,xmm,128,1.9407,0.2393,fma
VFMSUB213SD,xmm,xmm,xmm,128,1.9361,0.2393,fma
VFMSUB231PD,ymm,ymm,ymm,256,1.9141,0.2687,fma
VFMSUB231SD,xmm,xmm,xmm,128,1.9141,0.2564,fma
VFNMADD132PS,ymm,ymm,ymm,256,1.9144,0.2393,fma
VFNMADD213PS,ymm,ymm,ymm,256,1.9580,0.2393,fma
VFNMADD132PD,ymm,ymm,ymm,256,1.9693,0.2393,fma
VFNMADD213PD,ymm,ymm,ymm,256,1.9140,0.2393,fma
VFNMADD132SS,xmm,xmm,xmm,128,2.0486,0.2393,fma
VFNMADD213SS,xmm,xmm,xmm,128,1.9139,0.2393,fma
VFNMADD132SD,xmm,xmm,xmm,128,1.9818,0.2393,fma
VFNMADD213SD,xmm,xmm,xmm,128,2.0145,0.2393,fma
VFNMADD231PD,ymm,ymm,ymm,256,1.9140,0.2568,fma
VFNMADD231SD,xmm,xmm,xmm,128,1.9400,0.2564,fma
VFNMSUB132PS,ymm,ymm,ymm,256,1.9140,0.2393,fma
VFNMSUB213PS,ymm,ymm,ymm,256,1.9401,0.2393,fma
VFNMSUB132PD,ymm,ymm,ymm,256,1.9710,0.2396,fma
VFNMSUB213PD,ymm,ymm,ymm,256,1.9143,0.2582,fma
VFNMSUB132SS,xmm,xmm,xmm,128,1.9446,0.2382,fma
VFNMSUB213SS,xmm,xmm,xmm,128,1.9234,0.2393,fma
VFNMSUB132SD,xmm,xmm,xmm,128,1.9139,0.2524,fma
VFNMSUB213SD,xmm,xmm,xmm,128,1.9139,0.2552,fma
VFNMSUB231PD,ymm,ymm,ymm,256,1.9049,0.2552,fma
VFNMSUB231SD,xmm,xmm,xmm,128,1.9303,0.2552,fma
VFMADDSUB132PS,ymm,ymm,ymm,256,1.9386,0.2393,fma
VFMADDSUB213PS,ymm,ymm,ymm,256,1.9139,0.2393,fma
VFMADDSUB231PS,ymm,ymm,ymm,256,1.9403,0.2563,fma
VFMADDSUB132PD,ymm,ymm,ymm,256,2.0096,0.2393,fma
VFMADDSUB213PD,ymm,ymm,ymm,256,1.9463,0.2428,fma
VFMADDSUB231PD,ymm,ymm,ymm,256,1.9567,0.2795,fma
VFMSUBADD132PS,ymm,ymm,ymm,256,1.9666,0.2507,fma
VFMSUBADD213PS,ymm,ymm,ymm,256,1.9845,0.2456,fma
VFMSUBADD231PS,ymm,ymm,ymm,256,1.9534,0.2565,fma
VFMSUBADD132PD,ymm,ymm,ymm,256,1.9643,0.2417,fma
VFMSUBADD213PD,ymm,ymm,ymm,256,1.9462,0.2425,fma
VFMSUBADD231PD,ymm,ymm,ymm,256,1.9365,0.2650,fma
