mnemonic,width_bits,latency_cycles,throughput_cycles,extension
DPPD,128,3.3621,1.4966,SSE4.1
DPPS,128,5.3631,1.9152,SSE4.1
VDPPS,256,5.4047,1.9144,AVX
VPDPBUSD,128,1.9178,0.4791,AVX512_VNNI+VL
VPDPBUSD,256,1.9163,0.4793,AVX512_VNNI+VL
VPDPBUSD,512,1.9785,0.4791,AVX512_VNNI
VPDPBUSDS,128,1.9674,0.4788,AVX512_VNNI+VL
VPDPBUSDS,256,1.9156,0.5132,AVX512_VNNI+VL
VPDPBUSDS,512,1.9198,0.4808,AVX512_VNNI
VPDPWSSD,128,1.9226,0.4813,AVX512_VNNI+VL
VPDPWSSD,256,1.9184,0.4795,AVX512_VNNI+VL
VPDPWSSD,512,1.9166,0.5310,AVX512_VNNI
VPDPWSSDS,128,2.0363,0.4813,AVX512_VNNI+VL
VPDPWSSDS,256,1.9224,0.4794,AVX512_VNNI+VL
VPDPWSSDS,512,1.9151,0.4786,AVX512_VNNI
VDPBF16PS,256,2.9999,0.7177,AVX512_BF16+VL
VDPBF16PS,512,2.9257,0.7178,AVX512_BF16
PMADDWD,128,1.4359,0.3590,SSE2
VPMADDWD,256,1.4359,0.3599,AVX2
VPMADDWD,512,1.4409,0.4811,AVX-512BW
PMADDUBSW,128,1.4512,0.4222,SSSE3
VPMADDUBSW,256,1.4591,0.3644,AVX2
VPMADDUBSW,512,1.5013,0.4845,AVX-512BW
MPSADBW,128,2.4164,0.9691,SSE4.1
VMPSADBW,256,2.4116,1.0353,AVX2
