mnemonic,operands,latency_cycles,throughput_cycles,category
FADDP,st(1),st(0),11.0501,9.9449,x87_arith_p
FSUBP,st(1),st(0),10.9863,-1.0000,x87_arith_p
FSUBRP,st(1),st(0),11.1248,-1.0000,x87_arith_p
FMULP,st(1),st(0),11.0297,-1.0000,x87_arith_p
FDIVP,st(1),st(0),9.5620,-1.0000,x87_arith_p
FDIVRP,st(1),st(0),9.4300,-1.0000,x87_arith_p
FSUBR,st(0),st(0),3.4063,0.8614,x87_arith
FDIVR,st(0),st(0),7.0758,2.8305,x87_arith
FIADD,m32,3.0384,-1.0000,x87_int_mem
FISUB,m32,2.9443,-1.0000,x87_int_mem
FISUBR,m32,3.0152,-1.0000,x87_int_mem
FIMUL,m32,2.9177,-1.0000,x87_int_mem
FIDIV,m32,8.1810,-1.0000,x87_int_mem
FIDIVR,m32,7.5137,-1.0000,x87_int_mem
FICOM,m32,0.9435,-1.0000,x87_int_mem
FICOMP,m32,0.9441,-1.0000,x87_int_mem
FISTTP,m32,9.1446,-1.0000,x87_sse3
FISTTP,m64,8.9622,-1.0000,x87_sse3
FBLD,m80,28.7756,-1.0000,x87_bcd
FBSTP,m80,128.8475,-1.0000,x87_bcd
FCOMP,st(1),48.2640,-1.0000,x87_cmp
FCOMPP,,9.8927,-1.0000,x87_cmp
FUCOMP,st(1),48.0416,-1.0000,x87_cmp
FUCOMPP,,10.1075,-1.0000,x87_cmp
FUCOMI,st(0),st(1),0.5585,-1.0000,x87_cmp
FCOMIP,st(0),st(1),48.3970,-1.0000,x87_cmp
FUCOMIP,st(0),st(1),48.0245,-1.0000,x87_cmp
FPREM,,11.4275,-1.0000,x87_remain
FPREM1,,14.3975,-1.0000,x87_remain
FLDCW,m16,-1.0000,0.9544,x87_ctrl
FNSTCW,m16,-1.0000,0.9544,x87_ctrl
FNSTSW,m16,-1.0000,8.1288,x87_ctrl
FNSTSW,AX,-1.0000,9.0694,x87_ctrl
FLDENV,m,-1.0000,49.7750,x87_ctrl
FNSTENV,m,-1.0000,52.4000,x87_ctrl
FNSAVE,m,-1.0000,142.8875,x87_ctrl
FRSTOR,m,-1.0000,68.3500,x87_ctrl
FNINIT,,-1.0000,45.0250,x87_ctrl
FNCLEX,(verify),-1.0000,23.4531,x87_ctrl
FCMOVBE,st(0),st(1),1.6668,-1.0000,x87_cmov
FCMOVNBE,st(0),st(1),1.9404,-1.0000,x87_cmov
FCMOVNE,st(0),st(1),1.8255,-1.0000,x87_cmov
FCMOVU,st(0),st(1),1.9390,-1.0000,x87_cmov
FCMOVNU,st(0),st(1),1.7282,-1.0000,x87_cmov
