binary,source,mnemonic,count
sm_apple_cpu_latency_O0,objdump,.long,1
sm_apple_cpu_latency_O0,objdump,add,98
sm_apple_cpu_latency_O0,objdump,adrp,31
sm_apple_cpu_latency_O0,objdump,and,3
sm_apple_cpu_latency_O0,objdump,b,98
sm_apple_cpu_latency_O0,objdump,b.eq,1
sm_apple_cpu_latency_O0,objdump,b.ge,3
sm_apple_cpu_latency_O0,objdump,b.hs,14
sm_apple_cpu_latency_O0,objdump,b.le,1
sm_apple_cpu_latency_O0,objdump,b.ls,1
sm_apple_cpu_latency_O0,objdump,bl,34
sm_apple_cpu_latency_O0,objdump,blr,1
sm_apple_cpu_latency_O0,objdump,cbnz,6
sm_apple_cpu_latency_O0,objdump,cbz,3
sm_apple_cpu_latency_O0,objdump,eor,3
sm_apple_cpu_latency_O0,objdump,fadd,33
sm_apple_cpu_latency_O0,objdump,fcmp,1
sm_apple_cpu_latency_O0,objdump,fdiv,2
sm_apple_cpu_latency_O0,objdump,fmadd,33
sm_apple_cpu_latency_O0,objdump,fmov,10
sm_apple_cpu_latency_O0,objdump,fmul,1
sm_apple_cpu_latency_O0,objdump,ldp,11
sm_apple_cpu_latency_O0,objdump,ldr,106
sm_apple_cpu_latency_O0,objdump,ldrb,1
sm_apple_cpu_latency_O0,objdump,ldur,65
sm_apple_cpu_latency_O0,objdump,ldurb,3
sm_apple_cpu_latency_O0,objdump,ldursw,6
sm_apple_cpu_latency_O0,objdump,lsl,1
sm_apple_cpu_latency_O0,objdump,lsr,2
sm_apple_cpu_latency_O0,objdump,mov,32
sm_apple_cpu_latency_O0,objdump,movi,2
sm_apple_cpu_latency_O0,objdump,movk,20
sm_apple_cpu_latency_O0,objdump,mul,4
sm_apple_cpu_latency_O0,objdump,orr,2
sm_apple_cpu_latency_O0,objdump,ret,10
sm_apple_cpu_latency_O0,objdump,rev,1
sm_apple_cpu_latency_O0,objdump,stp,11
sm_apple_cpu_latency_O0,objdump,str,87
sm_apple_cpu_latency_O0,objdump,strb,2
sm_apple_cpu_latency_O0,objdump,stur,47
sm_apple_cpu_latency_O0,objdump,sturb,3
sm_apple_cpu_latency_O0,objdump,sub,10
sm_apple_cpu_latency_O0,objdump,subs,27
sm_apple_cpu_latency_O0,objdump,tbnz,1
sm_apple_cpu_latency_O0,objdump,tbz,2
sm_apple_cpu_latency_O0,objdump,ucvtf,5
sm_apple_cpu_latency_O0,objdump,udiv,1
sm_apple_cpu_latency_O0,otool,add,98
sm_apple_cpu_latency_O0,otool,adrp,31
sm_apple_cpu_latency_O0,otool,and,3
sm_apple_cpu_latency_O0,otool,b,98
sm_apple_cpu_latency_O0,otool,b.eq,1
sm_apple_cpu_latency_O0,otool,b.ge,3
sm_apple_cpu_latency_O0,otool,b.hs,14
sm_apple_cpu_latency_O0,otool,b.le,1
sm_apple_cpu_latency_O0,otool,b.ls,1
sm_apple_cpu_latency_O0,otool,bl,34
sm_apple_cpu_latency_O0,otool,blr,1
sm_apple_cpu_latency_O0,otool,cbnz,6
sm_apple_cpu_latency_O0,otool,cbz,3
sm_apple_cpu_latency_O0,otool,eor,3
sm_apple_cpu_latency_O0,otool,fadd,33
sm_apple_cpu_latency_O0,otool,fcmp,1
sm_apple_cpu_latency_O0,otool,fdiv,2
sm_apple_cpu_latency_O0,otool,fmadd,33
sm_apple_cpu_latency_O0,otool,fmov,10
sm_apple_cpu_latency_O0,otool,fmul,1
sm_apple_cpu_latency_O0,otool,ldadd,1
sm_apple_cpu_latency_O0,otool,ldp,11
sm_apple_cpu_latency_O0,otool,ldr,106
sm_apple_cpu_latency_O0,otool,ldrb,1
sm_apple_cpu_latency_O0,otool,ldur,65
sm_apple_cpu_latency_O0,otool,ldurb,3
sm_apple_cpu_latency_O0,otool,ldursw,6
sm_apple_cpu_latency_O0,otool,lsl,1
sm_apple_cpu_latency_O0,otool,lsr,2
sm_apple_cpu_latency_O0,otool,mov,32
sm_apple_cpu_latency_O0,otool,movi,2
sm_apple_cpu_latency_O0,otool,movk,20
sm_apple_cpu_latency_O0,otool,mul,4
sm_apple_cpu_latency_O0,otool,orr,2
sm_apple_cpu_latency_O0,otool,ret,10
sm_apple_cpu_latency_O0,otool,rev,1
sm_apple_cpu_latency_O0,otool,stp,11
sm_apple_cpu_latency_O0,otool,str,87
sm_apple_cpu_latency_O0,otool,strb,2
sm_apple_cpu_latency_O0,otool,stur,47
sm_apple_cpu_latency_O0,otool,sturb,3
sm_apple_cpu_latency_O0,otool,sub,10
sm_apple_cpu_latency_O0,otool,subs,27
sm_apple_cpu_latency_O0,otool,tbnz,1
sm_apple_cpu_latency_O0,otool,tbz,2
sm_apple_cpu_latency_O0,otool,ucvtf,5
sm_apple_cpu_latency_O0,otool,udiv,1
sm_apple_cpu_latency_O2,objdump,.long,32
sm_apple_cpu_latency_O2,objdump,add,97
sm_apple_cpu_latency_O2,objdump,adrp,61
sm_apple_cpu_latency_O2,objdump,and,2
sm_apple_cpu_latency_O2,objdump,b,15
sm_apple_cpu_latency_O2,objdump,b.eq,1
sm_apple_cpu_latency_O2,objdump,b.ge,1
sm_apple_cpu_latency_O2,objdump,b.le,1
sm_apple_cpu_latency_O2,objdump,b.lt,3
sm_apple_cpu_latency_O2,objdump,b.ne,10
sm_apple_cpu_latency_O2,objdump,bl,55
sm_apple_cpu_latency_O2,objdump,blr,1
sm_apple_cpu_latency_O2,objdump,cbnz,19
sm_apple_cpu_latency_O2,objdump,cbz,13
sm_apple_cpu_latency_O2,objdump,ccmp,2
sm_apple_cpu_latency_O2,objdump,cmp,10
sm_apple_cpu_latency_O2,objdump,csel,1
sm_apple_cpu_latency_O2,objdump,eor,4
sm_apple_cpu_latency_O2,objdump,fadd,40
sm_apple_cpu_latency_O2,objdump,fcmp,1
sm_apple_cpu_latency_O2,objdump,fdiv,2
sm_apple_cpu_latency_O2,objdump,fmadd,32
sm_apple_cpu_latency_O2,objdump,fmov,15
sm_apple_cpu_latency_O2,objdump,fmul,1
sm_apple_cpu_latency_O2,objdump,ldp,56
sm_apple_cpu_latency_O2,objdump,ldr,25
sm_apple_cpu_latency_O2,objdump,ldur,3
sm_apple_cpu_latency_O2,objdump,lsl,1
sm_apple_cpu_latency_O2,objdump,lsr,1
sm_apple_cpu_latency_O2,objdump,mov,101
sm_apple_cpu_latency_O2,objdump,movi,2
sm_apple_cpu_latency_O2,objdump,movk,27
sm_apple_cpu_latency_O2,objdump,mul,14
sm_apple_cpu_latency_O2,objdump,orr,1
sm_apple_cpu_latency_O2,objdump,ret,8
sm_apple_cpu_latency_O2,objdump,rev,1
sm_apple_cpu_latency_O2,objdump,ror,1
sm_apple_cpu_latency_O2,objdump,stp,47
sm_apple_cpu_latency_O2,objdump,str,44
sm_apple_cpu_latency_O2,objdump,stur,1
sm_apple_cpu_latency_O2,objdump,sub,9
sm_apple_cpu_latency_O2,objdump,subs,6
sm_apple_cpu_latency_O2,objdump,sxtw,1
sm_apple_cpu_latency_O2,objdump,tbz,2
sm_apple_cpu_latency_O2,objdump,ucvtf,3
sm_apple_cpu_latency_O2,objdump,udiv,14
sm_apple_cpu_latency_O2,otool,add,97
sm_apple_cpu_latency_O2,otool,adrp,61
sm_apple_cpu_latency_O2,otool,and,2
sm_apple_cpu_latency_O2,otool,b,15
sm_apple_cpu_latency_O2,otool,b.eq,1
sm_apple_cpu_latency_O2,otool,b.ge,1
sm_apple_cpu_latency_O2,otool,b.le,1
sm_apple_cpu_latency_O2,otool,b.lt,3
sm_apple_cpu_latency_O2,otool,b.ne,10
sm_apple_cpu_latency_O2,otool,bl,55
sm_apple_cpu_latency_O2,otool,blr,1
sm_apple_cpu_latency_O2,otool,cbnz,19
sm_apple_cpu_latency_O2,otool,cbz,13
sm_apple_cpu_latency_O2,otool,ccmp,2
sm_apple_cpu_latency_O2,otool,cmp,10
sm_apple_cpu_latency_O2,otool,csel,1
sm_apple_cpu_latency_O2,otool,eor,4
sm_apple_cpu_latency_O2,otool,fadd,40
sm_apple_cpu_latency_O2,otool,fcmp,1
sm_apple_cpu_latency_O2,otool,fdiv,2
sm_apple_cpu_latency_O2,otool,fmadd,32
sm_apple_cpu_latency_O2,otool,fmov,15
sm_apple_cpu_latency_O2,otool,fmul,1
sm_apple_cpu_latency_O2,otool,ldadd,32
sm_apple_cpu_latency_O2,otool,ldp,56
sm_apple_cpu_latency_O2,otool,ldr,25
sm_apple_cpu_latency_O2,otool,ldur,3
sm_apple_cpu_latency_O2,otool,lsl,1
sm_apple_cpu_latency_O2,otool,lsr,1
sm_apple_cpu_latency_O2,otool,mov,101
sm_apple_cpu_latency_O2,otool,movi,2
sm_apple_cpu_latency_O2,otool,movk,27
sm_apple_cpu_latency_O2,otool,mul,14
sm_apple_cpu_latency_O2,otool,orr,1
sm_apple_cpu_latency_O2,otool,ret,8
sm_apple_cpu_latency_O2,otool,rev,1
sm_apple_cpu_latency_O2,otool,ror,1
sm_apple_cpu_latency_O2,otool,stp,47
sm_apple_cpu_latency_O2,otool,str,44
sm_apple_cpu_latency_O2,otool,stur,1
sm_apple_cpu_latency_O2,otool,sub,9
sm_apple_cpu_latency_O2,otool,subs,6
sm_apple_cpu_latency_O2,otool,sxtw,1
sm_apple_cpu_latency_O2,otool,tbz,2
sm_apple_cpu_latency_O2,otool,ucvtf,3
sm_apple_cpu_latency_O2,otool,udiv,14
sm_apple_cpu_latency_O3,objdump,.long,32
sm_apple_cpu_latency_O3,objdump,add,250
sm_apple_cpu_latency_O3,objdump,adrp,119
sm_apple_cpu_latency_O3,objdump,and,2
sm_apple_cpu_latency_O3,objdump,b,29
sm_apple_cpu_latency_O3,objdump,b.eq,6
sm_apple_cpu_latency_O3,objdump,b.ge,2
sm_apple_cpu_latency_O3,objdump,b.le,14
sm_apple_cpu_latency_O3,objdump,b.lt,7
sm_apple_cpu_latency_O3,objdump,b.ne,18
sm_apple_cpu_latency_O3,objdump,bl,104
sm_apple_cpu_latency_O3,objdump,cbnz,37
sm_apple_cpu_latency_O3,objdump,cbz,31
sm_apple_cpu_latency_O3,objdump,ccmp,4
sm_apple_cpu_latency_O3,objdump,cmp,25
sm_apple_cpu_latency_O3,objdump,cset,1
sm_apple_cpu_latency_O3,objdump,eor,35
sm_apple_cpu_latency_O3,objdump,fadd,72
sm_apple_cpu_latency_O3,objdump,fcmp,14
sm_apple_cpu_latency_O3,objdump,fdiv,28
