variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,1,1024,1961000,1961000.000000,1915.039062500,10779883706199008131
threadgroup_heavy,1,1024,1096000,1096000.000000,1070.312500000,18019663745723314241
occupancy_heavy,1,1024,1120000,1120000.000000,1093.750000000,14337981411528687150
