probe,iters,unroll,elapsed_ns,ns_per_op,approx_gops
add_dep_u64,200000,32,2067625,0.323066,3.095339
add_dep_u32,200000,32,0,0.000000,0.000000
add_dep_i64,200000,32,0,0.000000,0.000000
add_dep_i16,200000,32,42,0.000007,152380.952381
add_dep_i8,200000,32,0,0.000000,0.000000
add_dep_u16,200000,32,41,0.000006,156097.560976
add_dep_u8,200000,32,42,0.000007,152380.952381
fadd_dep_f64,200000,32,6205166,0.969557,1.031399
fadd_dep_f32,200000,32,6217875,0.971543,1.029291
fmadd_dep_f64,200000,32,8533125,1.333301,0.750018
bf16_f32_roundtrip_proxy,200000,32,29132458,4.551947,0.219686
fcvt_f32_f16_roundtrip,200000,32,6320625,0.987598,1.012558
fadd_dep_f16_scalar,200000,32,6398792,0.999811,1.000189
fmla_dep_f16x8_simd,200000,32,8323667,1.300573,0.768892
mul_dep_u64,200000,32,6272250,0.980039,1.020367
madd_dep_u64,200000,32,6354292,0.992858,1.007193
msub_dep_u64,200000,32,6356208,0.993158,1.006890
umulh_dep_u64,200000,32,6211417,0.970534,1.030361
smull_dep_i32_to_i64,200000,32,6209041,0.970163,1.030755
load_store_chain_u64,200000,96,4632833,0.241293,4.144332
shuffle_lane_cross_u64,200000,32,8902709,1.391048,0.718882
atomic_add_relaxed_u64,200000,32,12750959,1.992337,0.501923
transcendental_sin_cos_f64,200000,8,30614875,19.134297,0.052262
