variant_trace,schema,baseline_rows,variant_rows,delta_rows,delta_pct
gpu_occupancy_heavy.trace,metal-application-encoders-list,1000,799,-201,-20.10%
gpu_occupancy_heavy.trace,metal-command-buffer-completed,1286,978,-308,-23.95%
gpu_occupancy_heavy.trace,metal-driver-intervals,3208,2692,-516,-16.08%
gpu_occupancy_heavy.trace,metal-gpu-intervals,2819,2612,-207,-7.34%
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,5048,4597,-451,-8.93%
gpu_register_pressure.trace,metal-application-encoders-list,1000,800,-200,-20.00%
gpu_register_pressure.trace,metal-command-buffer-completed,1286,1096,-190,-14.77%
gpu_register_pressure.trace,metal-driver-intervals,3208,2682,-526,-16.40%
gpu_register_pressure.trace,metal-gpu-intervals,2819,2349,-470,-16.67%
gpu_register_pressure.trace,metal-gpu-state-intervals,5048,4125,-923,-18.28%
gpu_threadgroup_heavy.trace,metal-application-encoders-list,1000,799,-201,-20.10%
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,1286,1138,-148,-11.51%
gpu_threadgroup_heavy.trace,metal-driver-intervals,3208,2939,-269,-8.39%
gpu_threadgroup_heavy.trace,metal-gpu-intervals,2819,2776,-43,-1.53%
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,5048,4907,-141,-2.79%
gpu_threadgroup_minimal.trace,metal-application-encoders-list,1000,792,-208,-20.80%
gpu_threadgroup_minimal.trace,metal-command-buffer-completed,1286,969,-317,-24.65%
gpu_threadgroup_minimal.trace,metal-driver-intervals,3208,2412,-796,-24.81%
gpu_threadgroup_minimal.trace,metal-gpu-intervals,2819,2077,-742,-26.32%
gpu_threadgroup_minimal.trace,metal-gpu-state-intervals,5048,3701,-1347,-26.68%
