opcode,count
add,26
xor,20
shl,13
zext,11
getelementptr,11
br,10
phi,9
store,8
mul,8
and,6
ret,5
icmp,5
load,5
tail_call,4
lshr,4
tail,4
or,3
fmul,2
fadd,1
