probe,iters,unroll,elapsed_ns,ns_per_op,approx_gops
add_dep_u64,200000000,32,4607638000,0.719943,1.388998
fadd_dep_f64,200000000,32,7546246417,1.179101,0.848104
fmadd_dep_f64,200000000,32,10157359541,1.587087,0.630085
