lane,probe_group,probe_name,status,profile,mode,elements,local_size,workgroups_x,build_ns,dispatch_ns,kernel_ns,read_ns,checksum,device_name,platform_name,artifact
opencl,depchain_add,depchain_add,ok,size,scalar_f32,4096,64,64,6614966,,15716158,4867937,-457728204415062058283920904336583950336.000000000,AMD PALM (DRM 2.51.0 / 6.18.20-x64v1-xanmod1),rusticl,/Users/eirikr/Documents/GitHub/steinmarder/src/sass_re/results/terascale_opencl_probe_suite_20260401_232900_size/runs/depchain_add.raw.log
opencl,depchain_mul,depchain_mul,ok,size,scalar_f32,4096,64,64,10150195,,10411224,3358387,-672339898313765397238612948495211744460800.000000000,AMD PALM (DRM 2.51.0 / 6.18.20-x64v1-xanmod1),rusticl,/Users/eirikr/Documents/GitHub/steinmarder/src/sass_re/results/terascale_opencl_probe_suite_20260401_232900_size/runs/depchain_mul.raw.log
opencl,throughput_vec4,throughput_vec4_mad,ok,size,vec4_f32,4096,64,64,21133750,,601503666,6773346,-63738079825990561192051003272049666818048.000000000,AMD PALM (DRM 2.51.0 / 6.18.20-x64v1-xanmod1),rusticl,/Users/eirikr/Documents/GitHub/steinmarder/src/sass_re/results/terascale_opencl_probe_suite_20260401_232900_size/runs/throughput_vec4_mad.raw.log
