trace,schema,rows,export_file
gpu_baseline.trace,metal-application-encoders-list,997,xctrace_gpu_baseline_metal-application-encoders-list.xml
gpu_baseline.trace,metal-command-buffer-completed,1075,xctrace_gpu_baseline_metal-command-buffer-completed.xml
gpu_baseline.trace,metal-driver-intervals,2413,xctrace_gpu_baseline_metal-driver-intervals.xml
gpu_baseline.trace,metal-gpu-intervals,1655,xctrace_gpu_baseline_metal-gpu-intervals.xml
gpu_baseline.trace,metal-gpu-state-intervals,3100,xctrace_gpu_baseline_metal-gpu-state-intervals.xml
gpu_occupancy_heavy.trace,metal-application-encoders-list,797,xctrace_gpu_occupancy_heavy_metal-application-encoders-list.xml
gpu_occupancy_heavy.trace,metal-command-buffer-completed,906,xctrace_gpu_occupancy_heavy_metal-command-buffer-completed.xml
gpu_occupancy_heavy.trace,metal-driver-intervals,2261,xctrace_gpu_occupancy_heavy_metal-driver-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-intervals,1854,xctrace_gpu_occupancy_heavy_metal-gpu-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,3460,xctrace_gpu_occupancy_heavy_metal-gpu-state-intervals.xml
gpu_register_pressure.trace,metal-application-encoders-list,800,xctrace_gpu_register_pressure_metal-application-encoders-list.xml
gpu_register_pressure.trace,metal-command-buffer-completed,876,xctrace_gpu_register_pressure_metal-command-buffer-completed.xml
gpu_register_pressure.trace,metal-driver-intervals,1785,xctrace_gpu_register_pressure_metal-driver-intervals.xml
gpu_register_pressure.trace,metal-gpu-intervals,1010,xctrace_gpu_register_pressure_metal-gpu-intervals.xml
gpu_register_pressure.trace,metal-gpu-state-intervals,1974,xctrace_gpu_register_pressure_metal-gpu-state-intervals.xml
gpu_threadgroup_heavy.trace,metal-application-encoders-list,800,xctrace_gpu_threadgroup_heavy_metal-application-encoders-list.xml
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,872,xctrace_gpu_threadgroup_heavy_metal-command-buffer-completed.xml
gpu_threadgroup_heavy.trace,metal-driver-intervals,1800,xctrace_gpu_threadgroup_heavy_metal-driver-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-intervals,1043,xctrace_gpu_threadgroup_heavy_metal-gpu-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,2011,xctrace_gpu_threadgroup_heavy_metal-gpu-state-intervals.xml
