probe,iters,unroll,elapsed_ns,ns_per_op,approx_gops
add_dep_u64,10000,32,163625,0.511328,1.955691
fadd_dep_f64,10000,32,490917,1.534116,0.651841
fmadd_dep_f64,10000,32,654666,2.045831,0.488799
